,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__svm_gamma,param_clf__svm_nu,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
117,0.09,0.00,0.27,0.00,100.0,0.8,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.8}",0.08,0.08,0.08,0.06,0.06,0.07,0.01,107,0.92,0.92,0.97,0.92,0.92,0.93,0.02
118,0.09,0.00,0.27,0.00,100.0,0.9,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.9}",0.07,0.06,0.07,0.06,0.04,0.06,0.01,108,0.91,0.92,0.97,0.92,0.92,0.93,0.02
119,0.08,0.00,0.27,0.00,100.0,1.0,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
120,0.09,0.00,0.28,0.01,1000.0,0.1,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.1}",0.04,0.03,0.05,0.04,0.03,0.04,0.01,115,0.92,0.92,0.97,0.92,0.92,0.93,0.02
121,0.09,0.00,0.27,0.00,1000.0,0.2,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.2}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
122,0.09,0.00,0.28,0.00,1000.0,0.3,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.3}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
123,0.09,0.00,0.27,0.00,1000.0,0.4,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.4}",0.04,0.03,0.05,0.04,0.03,0.04,0.01,115,0.92,0.92,0.97,0.92,0.92,0.93,0.02
124,0.09,0.00,0.28,0.00,1000.0,0.5,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.5}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
125,0.09,0.00,0.28,0.00,1000.0,0.6,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.6}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
126,0.09,0.00,0.27,0.00,1000.0,0.7,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.7}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
127,0.09,0.00,0.27,0.00,1000.0,0.8,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.8}",0.04,0.03,0.05,0.04,0.03,0.04,0.01,115,0.92,0.92,0.97,0.92,0.92,0.93,0.02
128,0.09,0.00,0.28,0.01,1000.0,0.9,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 0.9}",0.04,0.03,0.05,0.06,0.03,0.04,0.01,109,0.92,0.92,0.97,0.97,0.92,0.94,0.03
129,0.08,0.00,0.26,0.02,1000.0,1.0,"{'clf__svm_gamma': 1000.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
