,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__svm_gamma,param_clf__svm_nu,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
34,0.04,0.00,0.10,0.01,1e-06,0.5,"{'clf__svm_gamma': 1e-06, 'clf__svm_nu': 0.5}",0.45,0.56,0.48,0.53,0.51,0.51,0.04,48,0.46,0.54,0.51,0.55,0.53,0.52,0.03
35,0.04,0.00,0.12,0.01,1e-06,0.6,"{'clf__svm_gamma': 1e-06, 'clf__svm_nu': 0.6}",0.47,0.52,0.35,0.44,0.50,0.46,0.06,60,0.49,0.54,0.35,0.47,0.51,0.47,0.07
36,0.04,0.00,0.14,0.01,1e-06,0.7,"{'clf__svm_gamma': 1e-06, 'clf__svm_nu': 0.7}",0.43,0.50,0.44,0.43,0.49,0.46,0.03,58,0.47,0.52,0.46,0.49,0.48,0.48,0.02
37,0.05,0.00,0.16,0.00,1e-06,0.8,"{'clf__svm_gamma': 1e-06, 'clf__svm_nu': 0.8}",0.40,0.56,0.44,0.47,0.50,0.48,0.06,53,0.37,0.54,0.51,0.50,0.51,0.49,0.06
38,0.05,0.00,0.18,0.01,1e-06,0.9,"{'clf__svm_gamma': 1e-06, 'clf__svm_nu': 0.9}",0.50,0.50,0.45,0.48,0.53,0.49,0.03,52,0.51,0.50,0.47,0.51,0.52,0.50,0.02
39,0.05,0.00,0.20,0.00,1e-06,1.0,"{'clf__svm_gamma': 1e-06, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
40,0.02,0.00,0.02,0.00,1e-05,0.1,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.1}",0.45,0.49,0.47,0.48,0.46,0.47,0.01,55,0.42,0.49,0.55,0.48,0.49,0.48,0.04
41,0.03,0.00,0.05,0.00,1e-05,0.2,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.2}",0.54,0.52,0.44,0.52,0.53,0.51,0.04,46,0.52,0.54,0.47,0.54,0.56,0.53,0.03
42,0.04,0.00,0.06,0.01,1e-05,0.3,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.3}",0.56,0.54,0.49,0.56,0.52,0.53,0.03,32,0.54,0.55,0.53,0.56,0.52,0.54,0.01
43,0.04,0.00,0.08,0.00,1e-05,0.4,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.4}",0.55,0.54,0.50,0.56,0.50,0.53,0.02,33,0.53,0.57,0.50,0.58,0.54,0.54,0.03
44,0.04,0.00,0.10,0.00,1e-05,0.5,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.5}",0.55,0.57,0.52,0.53,0.55,0.54,0.02,20,0.54,0.56,0.55,0.56,0.56,0.55,0.01
45,0.05,0.00,0.12,0.00,1e-05,0.6,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.6}",0.55,0.57,0.51,0.52,0.53,0.54,0.02,28,0.54,0.55,0.53,0.57,0.54,0.55,0.01
46,0.05,0.00,0.14,0.01,1e-05,0.7,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.7}",0.50,0.57,0.49,0.51,0.52,0.52,0.03,45,0.52,0.55,0.52,0.55,0.53,0.53,0.01
47,0.05,0.01,0.16,0.01,1e-05,0.8,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.8}",0.52,0.56,0.49,0.51,0.55,0.53,0.02,39,0.52,0.54,0.53,0.57,0.54,0.54,0.02
48,0.05,0.00,0.17,0.00,1e-05,0.9,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 0.9}",0.55,0.54,0.49,0.51,0.52,0.52,0.02,44,0.53,0.53,0.54,0.55,0.53,0.54,0.01
49,0.05,0.00,0.19,0.00,1e-05,1.0,"{'clf__svm_gamma': 1e-05, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
50,0.02,0.00,0.02,0.00,0.0001,0.1,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.1}",0.51,0.52,0.46,0.49,0.48,0.49,0.02,51,0.49,0.51,0.52,0.50,0.48,0.50,0.01
51,0.03,0.00,0.04,0.00,0.0001,0.2,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.2}",0.58,0.52,0.50,0.56,0.56,0.54,0.03,19,0.55,0.58,0.53,0.56,0.58,0.56,0.02
52,0.04,0.00,0.06,0.00,0.0001,0.3,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.3}",0.55,0.54,0.51,0.55,0.54,0.54,0.02,24,0.54,0.56,0.55,0.57,0.57,0.56,0.01
53,0.04,0.00,0.08,0.00,0.0001,0.4,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.4}",0.52,0.55,0.51,0.53,0.50,0.52,0.02,43,0.53,0.57,0.53,0.57,0.53,0.55,0.02
54,0.04,0.00,0.10,0.00,0.0001,0.5,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.5}",0.55,0.57,0.51,0.52,0.54,0.54,0.02,25,0.53,0.56,0.54,0.57,0.55,0.55,0.01
