,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__data_contamination,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.018152570724487303,0.0003996623833203358,0.0017955303192138672,0.0003987555118951826,0.0,{'clf__data_contamination': 0.0},0.15189935522203932,0.25120442528282233,0.27195585884908774,0.16696563658527502,0.2735977004960214,0.22312459528704914,0.052815465477222934,50,0.17268011396396288,0.2056142460208857,0.27332632310672395,0.1950734639446087,0.2762251087438335,0.22458385115600293,0.042349391646087524
1,0.0247347354888916,0.010657122999714035,0.0019953250885009766,1.602910643956338e-06,0.01,{'clf__data_contamination': 0.01},0.3452957996365484,0.40422643743598546,0.42845084465643335,0.34326220496426274,0.3531628147680084,0.37487962029224764,0.03486429346805814,49,0.35293394373350895,0.398026086609194,0.4083287441922943,0.3644167120985678,0.3557689614559737,0.3758948896179077,0.022828716049181016
2,0.02333683967590332,0.002570074967582067,0.002593231201171875,0.0004892614470834534,0.02,{'clf__data_contamination': 0.02},0.4712935511108719,0.4396640407633615,0.45415733381721124,0.4203204670015726,0.4696588255528331,0.4510188436491701,0.019181682334637327,48,0.4548001939021292,0.42901807402182157,0.491139649146322,0.42057091585068873,0.4932731836610923,0.45776040331641077,0.030309318471392076
3,0.01934990882873535,0.0007978205383312525,0.0021926403045654298,0.00039892322048543734,0.03,{'clf__data_contamination': 0.03},0.4907499661084002,0.5586335525419692,0.4332079356824597,0.3851579368500717,0.49650596609153863,0.47285107145488786,0.059161174096249367,47,0.542439229463006,0.5434495702754918,0.4627593167789438,0.417296735981472,0.51125994458014,0.4954409594158108,0.048864125526472665
4,0.01934847831726074,0.00048805338601690064,0.0019945621490478514,4.623107774177865e-07,0.04,{'clf__data_contamination': 0.04},0.5488963130558833,0.5343312711380829,0.4555297613846442,0.47330621594373207,0.5146142175787082,0.5053355558202102,0.0355833680644477,46,0.5513125123699497,0.5119843387706668,0.48640038566303867,0.5050098550386998,0.5239441948571233,0.5157302573398956,0.021553495988207595
5,0.01815061569213867,0.0011633911780830452,0.0017960071563720703,0.00039804088530121705,0.05,{'clf__data_contamination': 0.05},0.5578598415374085,0.535559335235176,0.46077078622150613,0.5583168327094268,0.513636162772359,0.5252285916951753,0.03620924610257614,45,0.569962908038363,0.5130133083298483,0.48337754666174204,0.5486483169001575,0.5521850006373821,0.5334374161134987,0.031112986667499946
6,0.02034587860107422,0.006512002647887178,0.001995229721069336,2.9145635204193353e-06,0.06,{'clf__data_contamination': 0.06},0.560747720053852,0.5354908664799659,0.4796416583247364,0.586112866411985,0.5147491550584953,0.5353484532658068,0.036741656920204216,44,0.5731021010946116,0.5147864863749643,0.5088265257711181,0.5614858356102961,0.5687403196583847,0.5453882537018748,0.027733505288212185
7,0.019946193695068358,0.0025999399571310033,0.0021944522857666017,0.00039849322678363173,0.07,{'clf__data_contamination': 0.07},0.5643384861098744,0.5536226873571767,0.5640589239580285,0.5905734821566538,0.5181193884892148,0.5581425936141896,0.023441164993477794,20,0.577910002982889,0.5770313736566279,0.5667087286585815,0.5688267452307445,0.5706591885296651,0.5722272078117017,0.004468771930183423
8,0.01875,0.0003989005578935703,0.0021938323974609376,0.0003988043643439889,0.08,{'clf__data_contamination': 0.08},0.5636227555468918,0.5584877055143187,0.5542844801048379,0.599957934109741,0.5251054753202136,0.5602916701192007,0.02392453783750233,14,0.5781613958576064,0.5804807772180082,0.5635798201049111,0.5727658227553327,0.5756304285000902,0.5741236488871897,0.0058652004775253145
9,0.017952489852905273,0.003512577526754215,0.001994037628173828,7.325311420315369e-07,0.09,{'clf__data_contamination': 0.09},0.571526311666815,0.5553597542500532,0.565185639318351,0.6079783303833526,0.5335299239661179,0.566715991916938,0.02432423059778968,3,0.5846448039233739,0.5734698989676797,0.570879055714511,0.5759027187533088,0.5895814302678453,0.5788955815253438,0.007069665711957707
10,0.017553329467773438,0.0023271252477524997,0.0019936561584472656,0.0006306004567093352,0.1,{'clf__data_contamination': 0.1},0.5741355517721523,0.5495143197369333,0.5608157499409188,0.6139020608613386,0.5399494074988556,0.5676634179620398,0.025784674955835325,2,0.6030818746799707,0.5789331674019886,0.5602669393256284,0.5810983204365138,0.5910705760766995,0.5828901755841602,0.01417958491654362
11,0.018551206588745116,0.0004884026467765701,0.001993894577026367,9.295267433937991e-07,0.11,{'clf__data_contamination': 0.11},0.5696394146826478,0.5374130923618523,0.5638849272322457,0.6229462500018214,0.5593794836144717,0.5706526335786078,0.028331614111286353,1,0.6025091692589215,0.5711305859033298,0.5760269291072511,0.5767781818534439,0.5994240488852199,0.5851737830016333,0.013076300195305597
12,0.018750381469726563,0.00039980446718623465,0.0019943714141845703,7.539457464619588e-07,0.12,{'clf__data_contamination': 0.12},0.5650513222699105,0.543116982890833,0.5667928739725856,0.6113492895734961,0.5416391452471591,0.5655899227907969,0.025196545807362872,4,0.6052843296037591,0.5719045385972532,0.576827272000435,0.57058149098184,0.5943538469894507,0.5837902956345475,0.01369532440163056
13,0.017951822280883788,0.0006309782105039793,0.001993751525878906,3.568322550558034e-07,0.13,{'clf__data_contamination': 0.13},0.5633490145700304,0.5467690656112696,0.5655983996014811,0.6130074974503245,0.5302931537381232,0.5638034261942458,0.027704067745313466,7,0.604118770000535,0.5745126828350874,0.5788606238117551,0.566257770273092,0.5963578621703801,0.58402154181817,0.014061923295063256
