,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__data_contamination,param_clf__knn_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.022539806365966798,0.001195534167935168,8.381045627593995,0.03427340102782696,0.0,1,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 1}",0.7658116006490291,0.757146865828658,0.7382626270837228,0.7484913860541715,0.7414843010016325,0.7502393561234427,0.010132688862608683,1,0.9572066349118431,0.9626552774120398,0.9583905668967587,0.9609411440206358,0.9589524921748979,0.9596292230832351,0.0019359394962462897
1,0.02493257522583008,0.0018929068362284083,8.547886419296265,0.255394655349428,0.0,2,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 2}",0.7470457435946392,0.7554610839516446,0.7063212805731504,0.720724052342986,0.7252419351967065,0.7309588191318254,0.01790861043940916,2,0.8923453353350764,0.9024659378482817,0.9073979266755071,0.900032670059699,0.8993393247975675,0.9003162389432264,0.004885521126963686
2,0.029126787185668947,0.006533334895820078,8.979461908340454,0.08833034930630847,0.0,3,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 3}",0.7491774471533155,0.7344523854242168,0.7071155672372158,0.7056351926983921,0.7258424341585135,0.7244446053343309,0.016540330209959063,4,0.8603164083137071,0.8553921970093551,0.8654789573372168,0.8612329157413505,0.8573016617108378,0.8599444280224935,0.0034680428385252086
3,0.029322052001953126,0.0016207574892735314,7.327819776535034,0.8128434372382521,0.0,4,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 4}",0.731908257451997,0.724930618520436,0.6928930572116683,0.6942224126394263,0.7015224405860364,0.7090953572819129,0.016200320921820652,6,0.8417015702528887,0.824576269375663,0.8361646197050238,0.8406620994542655,0.8257840401191027,0.8337777197813887,0.007272482177808826
4,0.02952256202697754,0.0025726131705303304,6.9341977596282955,0.07972797830140016,0.0,5,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 5}",0.7313593874189832,0.6942876846383788,0.6965309063379421,0.6795481585455558,0.6916315427381379,0.6986715359357996,0.017364107514598038,10,0.8161238719422073,0.8053180798420165,0.8049375545181988,0.8176199473941885,0.7962661175791392,0.80805311425515,0.00790925840150926
5,0.03171553611755371,0.0015951276437988326,6.862171030044555,0.04768170507354318,0.0,6,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 6}",0.7326320172745147,0.6961859786808386,0.6907314414178416,0.6804655993293458,0.701605537352573,0.7003241148110227,0.01760083404794604,9,0.8079765473598695,0.7988763179531715,0.7897482925729146,0.8047845025132261,0.7865903122604962,0.7975951945319355,0.008291938460590079
6,0.030518245697021485,0.0024106882023684586,6.887670230865479,0.01779375041984241,0.0,7,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 7}",0.7467967949015015,0.6765491152033123,0.6842609190255875,0.6767516706497826,0.6863760334448246,0.6941469066450017,0.026617311862323453,14,0.7863199958387607,0.7837186572777805,0.7734422050914966,0.7873147753879426,0.7793598622489939,0.7820310991689948,0.005100280963993852
7,0.029121255874633788,0.0018281994763830673,6.8891767978668215,0.025406960840689212,0.0,8,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 8}",0.7287379256709272,0.6983372693371168,0.6822386751901381,0.6741203153176116,0.6890047028579811,0.694487777674755,0.018882951929255827,12,0.7797311524421141,0.7676804647945084,0.7669564977162229,0.7785296613350927,0.7718515566452281,0.7729498665866332,0.005329414558461805
8,0.028125190734863283,0.0014664793072746633,6.802011251449585,0.026421742802131287,0.0,9,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 9}",0.7115497979445194,0.6795571498065625,0.6759529785000417,0.668999614847789,0.6924460455425406,0.6857011173282906,0.01500242033036174,16,0.7642261898043458,0.7592847024078877,0.7509804415661663,0.7692629725210856,0.7614152985669506,0.7610339209732871,0.006036315636445158
9,0.030516815185546876,0.002055174388344987,6.827142667770386,0.030418288087650458,0.0,10,"{'clf__data_contamination': 0.0, 'clf__knn_neighbors': 10}",0.7260916511408121,0.6695879946910777,0.6702002996385323,0.6657968421252024,0.6803256153460596,0.6824004805883368,0.022369213085439574,19,0.7584842369564401,0.7423066551290762,0.7507610712108003,0.7570176827499521,0.7481459054119817,0.7513431102916501,0.005923088266546661
10,0.030518102645874023,0.0010169527592915483,6.126415681838989,0.12654792999176467,0.05,1,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 1}",0.7358787449446252,0.7192632687852427,0.731431391751211,0.7229847030632002,0.7232995898770019,0.7265715396842561,0.006119217399178311,3,0.9107699236079932,0.9072124961978654,0.9092002426314785,0.9165876947161282,0.9169002543026696,0.9121341222912269,0.0039304303327350725
11,0.029715538024902344,0.0018292398014207625,6.166111135482788,0.09840546510369022,0.05,2,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 2}",0.7151955934240632,0.7188173852026882,0.7027283998691617,0.7100831587545741,0.7112335541800838,0.7116116182861141,0.005406637496569165,5,0.8509393281898531,0.851156514242563,0.8636039544636898,0.8653540341015417,0.8648831316471586,0.8591873925289611,0.006670839573899885
