,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__data_contamination,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.06362800598144532,0.000747003272771371,0.045279502868652344,0.0038163170832504444,0.0,{'clf__data_contamination': 0.0},0.5836402133249856,0.619916834615056,0.6122771561838373,0.6359832012444593,0.6343014915910649,0.6172237793918807,0.018990216952779127,1,0.6440168375280174,0.6238180151042318,0.6588601734719914,0.6266318875105836,0.6314913939130384,0.6369636615055725,0.012951477244670022
1,0.0700106143951416,0.006288572816501287,0.04747428894042969,0.006927920489745699,0.01,{'clf__data_contamination': 0.01},0.5805973383285674,0.6105590413723839,0.6195868143591017,0.6268271181775144,0.6345908815405931,0.6144322387556321,0.018688904244741185,3,0.6440442006765974,0.6247393503032815,0.6557834154496429,0.62405971620501,0.6320586850630342,0.6361370735395132,0.01217296445186482
2,0.06502385139465332,0.0015952946935782683,0.04148974418640137,0.0011976245103092358,0.02,{'clf__data_contamination': 0.02},0.5887547069051413,0.6082235923564665,0.623811745933852,0.6169596099133108,0.635473640631449,0.614644659148044,0.01571471076858784,2,0.64534078651822,0.6223566724801286,0.6568951073639107,0.6221230799963948,0.6320132549232838,0.6357457802563877,0.013550912124619223
3,0.06681981086730956,0.004504526711494553,0.04448189735412598,0.003868056012277963,0.03,{'clf__data_contamination': 0.03},0.5884329936134846,0.6110629171123902,0.6213547304637819,0.6073037006216321,0.6336021216625631,0.6123512926947704,0.015045815044714344,4,0.6388601207511562,0.623384289337845,0.6552600330240295,0.6157078420750349,0.631640483501714,0.6329705537379559,0.01358804365894221
4,0.06562309265136719,0.002554567978602943,0.041290807723999026,0.0010190216289070522,0.04,{'clf__data_contamination': 0.04},0.5802863677129808,0.6088487740912001,0.6211747889129342,0.602836089918112,0.6331931635849984,0.6092678368440451,0.01786429568909507,6,0.6397739279971711,0.6233316774848955,0.6522391576646953,0.6164323354836858,0.6321073035931306,0.6327768804447157,0.012526318302950494
5,0.07220754623413086,0.0061354697785481315,0.041689395904541016,0.0009740257400444568,0.05,{'clf__data_contamination': 0.05},0.5796185549328587,0.605619466700402,0.6210168074903814,0.6194889728170542,0.6331931635849984,0.611787393105139,0.018306178712546924,5,0.6387320189206307,0.6203866427556308,0.6472614936486346,0.6196148253979032,0.6277440238802068,0.6307478009206011,0.0107402905324281
6,0.07160787582397461,0.0076591004137728695,0.04388275146484375,0.006615163986575838,0.06,{'clf__data_contamination': 0.06},0.5782204077854882,0.6036930466823567,0.6196935223973796,0.6181825340649224,0.624571543032144,0.6088722107924582,0.016832163886548228,7,0.643481276127261,0.6201736661981734,0.6466743401380929,0.6149131539494522,0.6256421442591253,0.630176916134421,0.012671089888903043
7,0.0656219482421875,0.002917815565865869,0.04009389877319336,0.0019340577151313841,0.07,{'clf__data_contamination': 0.07},0.5782204077854882,0.6150859002601547,0.6174365671893332,0.6170694109092392,0.6161636802881114,0.6087951932864654,0.01530895896886002,8,0.6398115911633753,0.6157230604852452,0.6441374717603126,0.6158584374456593,0.6278381626678134,0.6286737447044811,0.01179685549138867
8,0.06462655067443848,0.003958935495239597,0.044283294677734376,0.004021076940173477,0.08,{'clf__data_contamination': 0.08},0.5808799613451204,0.6020586705679782,0.6165985651511776,0.6156802846809496,0.6128766634743645,0.6056188290439181,0.013410070533246318,10,0.6365606792007367,0.6171786716369512,0.6408395871656682,0.6142206527565385,0.6231339817210484,0.6263867144961885,0.010543021087587607
9,0.06442890167236329,0.004214303185935466,0.04208626747131348,0.002630710863691092,0.09,{'clf__data_contamination': 0.09},0.5795610105861615,0.5896344466586114,0.6165985651511776,0.6288511721948372,0.6157346867394363,0.6060759762660448,0.018417884869260662,9,0.6343523626139169,0.616609176105479,0.6385225597591128,0.6138608925242692,0.6222822658846745,0.6251254513774904,0.009717194434266965
10,0.06901469230651855,0.007174582158826039,0.04448099136352539,0.003191644077409495,0.1,{'clf__data_contamination': 0.1},0.5798948606462775,0.5862930626190173,0.6154664231146142,0.6229607846235274,0.6141981624036571,0.6037626586814187,0.01725864681348694,11,0.6290529958873676,0.6137170849036405,0.635671660767134,0.6109659327440193,0.6178016843832898,0.6214418717370902,0.009413657100723819
11,0.06323022842407226,0.0018492058256524611,0.04168992042541504,0.0015962486170388466,0.11,{'clf__data_contamination': 0.11},0.5771332811197641,0.5841585718961131,0.6171262320476034,0.6024606836580418,0.6175573404018012,0.5996872218246647,0.01661909453599417,13,0.6253221917106012,0.6113133725983794,0.6313923845415184,0.6049709210474207,0.6124170236619105,0.6170831787119659,0.00974068948212653
12,0.07240676879882812,0.004617973088679681,0.051464080810546875,0.011762045918546791,0.12,{'clf__data_contamination': 0.12},0.5756756065472708,0.594811513268054,0.6120618705372569,0.6041580773871793,0.6204455060436439,0.601430514756681,0.015421813738087634,12,0.6285097512484049,0.6066771087301709,0.6287292013902832,0.6012110526813822,0.6104680668552074,0.6151190361810898,0.01140944789918053
13,0.0680159568786621,0.0017155797320910066,0.04168834686279297,0.0015964091146259728,0.13,{'clf__data_contamination': 0.13},0.5759613628008003,0.587686648330928,0.5988532495144752,0.6059238244189374,0.6187951083652725,0.5974440386860828,0.014740914811602175,14,0.6290369557819794,0.598388245132517,0.6231863889488922,0.5997833411092024,0.609935167592843,0.6120660197130867,0.012281380418476057
