,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14,0.5805851459503174,0.0049989155960656,0.18929510116577147,0.011202979355912033,0.1,1e-08,"{'clf__C': 0.1, 'clf__gamma': 1e-08}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
15,0.5744621753692627,0.0046779475558486475,0.1956775665283203,0.004296979383588747,0.1,1e-07,"{'clf__C': 0.1, 'clf__gamma': 1e-07}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
16,0.5738635540008545,0.005556785137819601,0.18690114021301268,0.011294219686195463,0.1,1e-06,"{'clf__C': 0.1, 'clf__gamma': 1e-06}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
17,0.5752771377563477,0.006482099545591255,0.19228620529174806,0.011447928508114836,0.1,1e-05,"{'clf__C': 0.1, 'clf__gamma': 1e-05}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
18,0.5720698356628418,0.0061353246242155796,0.19767112731933595,0.005101625669684525,0.1,0.0001,"{'clf__C': 0.1, 'clf__gamma': 0.0001}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
19,0.558077049255371,0.00444290506029796,0.19101414680480958,0.011584244712561934,0.1,0.001,"{'clf__C': 0.1, 'clf__gamma': 0.001}",0.20584994119306993,0.1489509390253992,0.16045014830025098,0.14806303555799802,0.14731692880094707,0.16212619857553304,0.02238414305948525,110,0.16466020667137815,0.15274125974886799,0.147349449019833,0.1571932663947591,0.1598251611024989,0.15635386858746742,0.0059309396749376905
20,0.3289985656738281,0.006027638120690424,0.17593035697937012,0.007207800428436681,0.1,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.5748930477037926,0.5764643521156017,0.5727751133276688,0.6014846658890576,0.5353872477239706,0.5722008853520182,0.021159103679935024,80,0.5983661269475831,0.5850885407321621,0.588917401217014,0.5793006319685859,0.5920401395991213,0.5887425680928933,0.006419026456062113
21,0.301792049407959,0.011709286867321395,0.1651698589324951,0.007782690368092419,0.1,0.1,"{'clf__C': 0.1, 'clf__gamma': 0.1}",0.6521350916317248,0.6743891165721817,0.6726475361577255,0.689937285314327,0.6346351110447337,0.6647488281441386,0.019265126162170708,68,0.7116759861682762,0.7202379391612785,0.7103583091742435,0.7086269237930832,0.7213841857076766,0.7144566688009115,0.005290146536012313
22,0.5811152458190918,0.004848218519859773,0.19108972549438477,0.005801957645624297,0.1,1.0,"{'clf__C': 0.1, 'clf__gamma': 1.0}",0.1803492687186204,0.21533303194695602,0.15137768536853757,0.19181734957548913,0.22607430863704617,0.19299032884932985,0.026406554032540074,104,0.28637095158095566,0.29027335344383587,0.2856851240531072,0.30679783798520516,0.2764934913193196,0.2891241516764847,0.009925930236099511
23,0.6869021415710449,0.00684603250384309,0.21376852989196776,0.004736075192157863,0.1,10.0,"{'clf__C': 0.1, 'clf__gamma': 10.0}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.050642979782052636,0.0540909090909091,0.043194706994328924,0.0469682918999893,0.04761831895232178,0.004256811410330619
24,1.1925081253051757,0.004046222062565723,0.2826239109039307,0.0035077760096655928,0.1,100.0,"{'clf__C': 0.1, 'clf__gamma': 100.0}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
25,1.2296499729156494,0.002799789330077913,0.27344841957092286,0.008026691284241707,0.1,1000.0,"{'clf__C': 0.1, 'clf__gamma': 1000.0}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
26,0.5638954639434814,0.002716624515799319,0.19228668212890626,0.009257545254682132,1.0,1e-09,"{'clf__C': 1.0, 'clf__gamma': 1e-09}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
27,0.5754028797149658,0.005556549847428761,0.1961601734161377,0.006065202914678641,1.0,1e-08,"{'clf__C': 1.0, 'clf__gamma': 1e-08}",0.04310018903591682,0.04310018903591682,0.043396226415094344,0.04310018903591682,0.04318181818181819,0.0431757223409326,0.0001146952889161973,135,0.043194706994328924,0.043194706994328924,0.04312056737588653,0.043194706994328924,0.043174303259329236,0.04317579832364051,2.8723879573297632e-05
